city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Herveo,22962,Colombia,auto_econom,0,1,0,,0
Morretes,35663,Brazil,auto_econom,0,1,0,,0
Porto Nacional,22292,Brazil,auto_econom,0,1,0,,0
Roseira,38289,Brazil,auto_econom,0,1,0,,0
Espita,24615,Mexico,auto_econom,0,1,0,,0
Bacerac,23976,Mexico,auto_econom,0,1,0,,0
Afogados da Ingazeira,21478,Brazil,auto_econom,0,1,0,,0
Pompéu,22276,Brazil,auto_econom,0,1,0,,0
Bonfim,43642,Brazil,auto_econom,0,1,0,,0
Macuspana,24857,Mexico,auto_econom,0,1,0,,0
Guanambi,21863,Brazil,auto_econom,0,1,0,,0
Los Algodones,24175,Mexico,auto_econom,0,1,0,,0
Villa Caro,22766,Colombia,auto_econom,0,1,0,,0
Cascavel,4179,Brazil,intercity3,0,1,0,,0
Belo Horizonte,4540,Brazil,intercity3,0,1,0,,0
Астана (Нур-Султан),150,Казахстан,6-seater XL,381,2907,0.169,1.083,0.131
Gandu,21841,Brazil,auto_econom,0,1,0,,0
Ipatinga,4543,Brazil,intercity_buses,0,1,0,,0
Cedral,24679,Mexico,auto_econom,0,1,0,,0
Jerez de García Salinas,6071,Mexico,auto_econom,0,1,0,,0
San Miguel,6113,El Salvador,moto_econom,6,46,0.167,1.212,0.13
Chiclayo,4272,Peru,6-seater,268,2077,0.322,1.218,0.129
Sanahcat,23998,Mexico,auto_econom,0,1,0,,0
Huepac,23982,Mexico,auto_econom,0,1,0,,0
Talagang,23533,Pakistan,moto_econom,10,79,0.219,1.135,0.127
Coalcoman de Vazquez Pallares,24666,Mexico,auto_econom,0,1,0,,0
Caroebe,43625,Brazil,auto_econom,0,1,0,,0
Monte Azul,22117,Brazil,auto_econom,0,1,0,,0
Tlatlauquitepec,24954,Mexico,auto_econom,0,1,0,,0
Carinhanha,21714,Brazil,auto_econom,0,1,0,,0
Cocal,21740,Brazil,auto_econom,0,1,0,,0
Unaí,22554,Brazil,auto_econom,0,1,0,,0
Limoeiro de Anadia,22032,Brazil,auto_econom,0,1,0,,0
Ho Chi Minh City,5786,Vietnam,6-seater,1,8,0.122,1.079,0.125
Támara,22868,Colombia,auto_econom,0,1,0,,0
San Agustín,23328,Colombia,auto_econom,0,1,0,,0
Entrerríos,22920,Colombia,auto_econom,0,1,0,,0
